Career (Small List),Exact Matched Careers
Career Name,Career Name
"Civil Engineer, Irrigation","Civil Engineer, Irrigation"
"General Manager, Livestock Farm","General Manager, Livestock Farm"
Sugar Technologist,"Sugar Technologist, Sugar Technologist"
Boiling In-Charge,Boiling In-Charge
"Veterinarian, General","Veterinarian, General"
Poultry Veterinarian,Poultry Veterinarian
Veterinary Surgeon,Veterinary Surgeon
"Director, Mines","Director, Mines"
Petroleum and Natural Gas Extraction Technician,Petroleum and Natural Gas Extraction Technician
Ecologist,Ecologist
Food Chemist,Food Chemist
"Chemical Engineer, Food","Chemical Engineer, Food"
"Director, Water Supply","Director, Water Supply"
"Masticator, Rubber","Masticator, Rubber"
Agricultural Engineer,Agricultural Engineer
Agriculture Engineering Technician,Agriculture Engineering Technician
Agriculture Extension Executive,Agriculture Extension Executive
Agriculture Extension Service Provider,Agriculture Extension Service Provider
Agriculture Field Officer,Agriculture Field Officer
Agronomist,Agronomist
Agronomy and Forestry Technician,Agronomy and Forestry Technician
Animal Health Worker,Animal Health Worker
Artificial-Breeding Technician,Artificial-Breeding Technician
Broiler Farm Supervisor,Broiler Farm Supervisor
Chillies Cultivator,Chillies Cultivator
Citrus Fruit Grower,Citrus Fruit Grower
Dairy Scientist,Dairy Scientist
Dairy Technologist,Dairy Technologist
"Digester Operator, Wood","Digester Operator, Wood"
"Distiller, Turpentine and Eucalyptus","Distiller, Turpentine and Eucalyptus"
"Diver, Pearl","Diver, Pearl"
"Estimator, Timber","Estimator, Timber"
"Farm Overseer, Crop Production","Farm Overseer, Crop Production"
Fieldman in Agriculture,Fieldman in Agriculture
Fish Overseer,Fish Overseer
Fisheries Inspector,"Fisheries Inspector, Fisheries Inspector"
Fisheries Inspector,"Fisheries Inspector, Fisheries Inspector"
Floriculturist - Open Cultivation,Floriculturist - Open Cultivation
Floriculturist-Protected Cultivation,Floriculturist-Protected Cultivation
Forester,Forester
General Manager Agriculture Farm,General Manager Agriculture Farm
General Manager Horticulture,General Manager Horticulture
"General Manager, Dairy Farm","General Manager, Dairy Farm"
"General Manager, Plantation","General Manager, Plantation"
"General Manager, Poultry","General Manager, Poultry"
Hatchery Incharge,Hatchery Incharge
Horticulturist,Horticulturist
"Laboratory Assistant, Soil","Laboratory Assistant, Soil"
"Manager, Aerial Planting and Cultivation","Manager, Aerial Planting and Cultivation"
"Manager, Agriculture Farm","Manager, Agriculture Farm"
"Manager, Dairy Farm","Manager, Dairy Farm"
"Manager, Horticulture Farm","Manager, Horticulture Farm"
"Manager, Livestock Farm","Manager, Livestock Farm"
"Manager, Nursery","Manager, Nursery"
"Manager, Orchard","Manager, Orchard"
"Manager, Plantation","Manager, Plantation"
"Manager, Poultry Farm","Manager, Poultry Farm, Manager, Poultry Farm"
"Mechanic, Dairy Maintenance","Mechanic, Dairy Maintenance, Mechanic, Dairy Maintenance"
Micro Irrigation Technician,"Micro Irrigation Technician, Micro Irrigation Technician"
Neera Technician,"Neera Technician, Neera Technician"
Irrigation Patrol,"Irrigation Patrol, Irrigation Patrol"
Pisciculturist,"Pisciculturist, Pisciculturist"
Poultry Scientist,"Poultry Scientist, Poultry Scientist"
Quality Seed Grower,"Quality Seed Grower, Quality Seed Grower"
