Career (Small List),Matched Careers (Large List)
Occupation A,"Employment Officer/Operation Head, Employment, Working Proprietor, Construction, Labourer, Plantation"
Agricultural Engineers,"Agriculture Engineering Technician, Agricultural Engineering Technician, Agricultural Engineer"
Architects,"Construction Painter and Decorator, Painter, Building, Architect"
Multimedia Artists and Animators,"Rendering Artist, Animator, Animator"
Data Scientist,"Soil Scientist, Material Scientist, Environmental Scientist"
STEM Teacher (Secondary Education),"Primary School Teacher, University and College Teacher, Engineering, Senior Secondary and Secondary School Teacher, Science"
Financial Analyst,"Risk Management Analyst, Budget Analyst, Financial Analyst"
Policy Analyst,"Financial Analyst, Risk Management Analyst, Operations Research Analyst"
Biomedical Engineer,"Medical Equipment Technician, Biomedical Engineer, Biomedical Equipment Technician"
Data Analyst in Hospitality,"General Manager, Lodging and Catering Services, Operations Research Analyst, Risk Management Analyst"
Biomedical Engineer,"Medical Equipment Technician, Biomedical Engineer, Biomedical Equipment Technician"
Software Developer ,"Software Tester, Embedded Software Engineer, Front-End Developer"
Cybersecurity Specialist,"Personal Security Officer, Security Supervisor, Security Officer"
Manufacturing Engineer,"Production Engineer, Production Engineer, Industrial Engineer"
Digital Marketing Specialist,"Marketing &amp; Social Media Manager, Advertising Operations Coordinator (Digital), Digital Marketing Manager"
Logistics Manager,"Warehouse Supervisor, Supervisor and Foreman, Material and Freight Handling, Transport Manager"
Environmental Scientist ,"Environmental Engineering Technician, Environmental Science and Protection Technician, Including Health, Environmental Scientist"
Agricultural Scientist,"Agriculture Engineering Technician, Soil Scientist, Soil Scientist"
Healthcare Architect,"Hospital Administrator, Architect, Public Health System Design Engineer"
Medical Illustrator ,"Drawing Artist, Rendering Artist, Hand Sketch Designer"
Healthcare Administrator,"Medical Records and Health Information Technician, Hospital Administrator, Health Officer"
Health Educator,"Health Officer, Diabetes Educator, Health Educator"
Healthcare Financial Analyst,"Budget Analyst, Core Analyst, Financial Analyst"
Public Health Administrator,"Public Relations Officer, Hospital Administrator, Health Officer"
Clinical Research Coordinator,"Cancer Specialist, Laboratory Assistant, Clinical, Medical Laboratory Technician"
Health and Wellness Coordinator,"Health Club Manager, Health Educator, Assistant Beauty/Wellness Consultant"
Healthcare Administrator,"Medical Records and Health Information Technician, Hospital Administrator, Health Officer"
Health Informatics Specialist,"Health Officer, Health Educator, Medical Records and Health Information Technician"
Clinical Research Informatics Specialist,"Medical Laboratory Technician, Medical Records and Health Information Technician, Medical Physiologist"
Biomedical Engineer,"Medical Equipment Technician, Biomedical Engineer, Biomedical Equipment Technician"
Pharmaceutical Sales Representative,"Distributor Sales Representative, Sales Representative, Medical Sales Representative"
Clinical Logistics Manager,"Transport Manager, Medical Sales Representative, Inventory Manager"
Biomedical Engineer,"Medical Equipment Technician, Biomedical Engineer, Biomedical Equipment Technician"
Agricultural Lawyer,"Attorney General of India, Agriculture Field Officer, Attorney at Law"
Construction Lawyer,"Construction Work Supervisor, Director, Construction, Attorney at Law"
Media Lawyer,"Police Prosecutor, Public Prosecutor, Attorney at Law"
Corporate Lawyer,"Attorney General of India, Solicitor General of India, Attorney at Law"
Education Policy Analyst,"Budget Analyst, Operations Research Analyst, University and College Teacher, Information Technology"
Financial Compliance Officer,"Security Supervisor, Accounts Executive (Statutory Compliance), Information Officer"
Public Policy Analyst,"Operations Research Analyst, Executive Official, State Government, Public Relations Officer"
Health Law Attorney,"Legal Assistant, Attorney at Law, Health Officer"
Hospitality Lawyer,"Legal Assistant, Attorney at Law, Broker"
Social Services Lawyer,"Counsellor, Legal Assistant, Attorney at Law"
Cybersecurity Lawyer,"Personal Security Officer, Security Officer, Security Supervisor"
Victim Advocate,"Counsellor, Advocate General, Advocate"
Environmental Compliance Manager,"Environmental Science and Protection Technician, Including Health, Environmental Compliance Inspector, Environmental Engineering Technician"
Digital Marketing Consultant,"Sales Consultant (Institutional Sales), Advertising Operations Coordinator (Digital), Digital Marketing Manager"
Freight and Shipping Attorney,"Working Proprietor, Transport, Supervisor and Foreman, Material and Freight Handling, Goods Supervisor, Railway"
Technology Law Attorney,"Attorney General of India, Legal Assistant, Attorney at Law"
Agricultural Extension Officer,"Agriculture Field Officer, Agriculture Extension Service Provider, Agriculture Extension Executive"
Urban Planner,"Traffic Planner, Town Planner, Planner"
Public Relations Specialist,"Guest Relations Manager, Director of Communications, Public Relations Officer"
Human Resources Manager,"Personnel Manager, Human Resource Manager, Manpower Officer/Area Manager, Human Resource"
School Counselor,"Vocational Rehabilitation Counsellor, Counselling Psychologist, Educational Psychologist"
Financial Advisor,"Finance Agent, Service Advisor, Financial Analyst"
Public Policy Analyst,"Operations Research Analyst, Executive Official, State Government, Public Relations Officer"
Health Policy Analyst,"General Manager, Insurance, Health Educator, Health Officer"
Event Manager,"Service Office Manager, Publicity Officer, Personnel Manager"
Social Worker,"Social Ecologist, Child and Family Social Worker, Medical Social Worker"
Systems Analyst,"Financial Analyst, Risk Management Analyst, Operations Research Analyst"
Paralegal,"Judge, Supreme Court, Judge, Subordinate Court, Parasitologist"
Production Planner,"Production Engineer, Production Planning Supervisor, Production Planner"
Market Research Analyst,"Financial Analyst, Operations Research Analyst, Market Research Analyst"
Logistics Coordinator,"Warehouse Supervisor, Sales Coordinator, Transport Coordinator"
Data Scientist,"Soil Scientist, Material Scientist, Environmental Scientist"
Agribusiness Manager,"Manager, Food Processing Plant, General Manager Agriculture Farm, Manager, Agriculture Farm"
Construction Project Manager,"General Manager, Construction, Construction Work Supervisor, Manager, Construction"
Media Production Manager,"Executive Producer, Marketing &amp; Social Media Manager, Production Manager (Motion Picture)"
Operations Manager,"Sales Manager, Service Office Manager, Personnel Manager"
Training and Development Manager,"Sales Training Manager, Product Development Manager, Business Development Executive"
Financial Analyst,"Risk Management Analyst, Budget Analyst, Financial Analyst"
City Manager,"Service Office Manager, Personnel Manager, Area Service Manager"
Healthcare Administrator,"Medical Records and Health Information Technician, Hospital Administrator, Health Officer"
Hotel Manager,"Receptionist (Hotel), Hotel and Restaurant Keeper, General Manager, Lodging and Catering Services"
Social and Community Service Manager,"Service Office Manager, Community Service Provider, Area Service Manager"
IT Project Manager,"Service Office Manager, IT Coordinator in School, Product Development Manager"
Corporate Compliance Manager,"Manager Communication, Customer Relationship Manager, Personnel Manager"
Operations Manager (Manufacturing),"General Manager, Manufacturing, Manager, Manufacturing, Manager, Manufacturing"
Marketing Manager,"Digital Marketing Manager, Sales Manager, Sales Manager"
Logistics Manager,"Warehouse Supervisor, Supervisor and Foreman, Material and Freight Handling, Transport Manager"
Business Intelligence Analyst,"Risk Management Analyst, Financial Analyst, Operations Research Analyst"
Agricultural Communications Specialist,"Agricultural Engineering Technician, Manager, Agriculture Farm, Agriculture Field Officer"
Architectural Visualizer,"Viewer, Workshop, Rendering Artist, Architect"
Multimedia Artist,"Rendering Artist, Commercial Artist, Theatrical and Media Make-Up Artist"
Creative Project Manager,"Product Design Manager, Creative Writer, Product Development Manager"
Art Teacher,"Art Director, Handwork Teacher/Teacher, Art and Craft, Art Teacher"
Art Investment Consultant,"Inlay Artisan, Fine Art Painter, Art Director"
Cultural Policy Advisor,"Public Relations Officer, Language Specialist, Service Advisor"
Art Therapist,"Art Director, Art Teacher, Beauty Therapist"
Cultural Tour Guide,"Commercial Traveller, General, Anthropologist, Cultural, Tourist Guide"
Art Therapist,"Art Director, Art Teacher, Beauty Therapist"
Multimedia Artist and Animator,"Rendering Artist, Animator, Animator"
Art Lawyer,"Fine Art Painter, Attorney at Law, Art Director"
Product Designer (Arts Focus),"Design Merchandiser, Product Design Engineer, Product Design Manager"
Marketing Art Director (Advertising),"Art Director, Manager, Advertising and Promotion, Advertising Sales Agent"
Exhibit Transportation Specialist,"Bus Conductor, Transport Coordinator, Transport Manager"
Scientific Illustrator,"Cartoonist, Hand Sketch Designer, Rendering Artist"
Agricultural Equipment Operator,"Operator, Farm Machines, Operator, Farm Machines, Agricultural Engineer"
Construction Manager,"General Manager, Construction, Construction Work Supervisor, Manager, Construction"
Sports Broadcaster,"Manager, Recreation and Entertainment, Radio Commentator, Sports Coach"
Sports Marketing Manager,"Building Operator Sports Goods, Sports Coach, Brand Manager"
Physical Education Teacher,"Fitness Trainer, Teacher for Differently-Abled (Physical), Physical Training Instructor/Physical Education Teacher"
Sports Financial Analyst,"Risk Management Analyst, Sports Coach, Financial Analyst"
Recreation Coordinator,"Booking Clerk, Recreation, General Manager, Recreation and Entertainment, Manager, Recreation and Entertainment"
Exercise Physiologist,"Fitness Trainer, Physiotherapist, Medical Physiologist"
Sports Event Planner,"Athletic Coach, Meeting, Conference, and Event Planner, Sports Coach"
Recreational Therapist,"Vocational Rehabilitation Counsellor, Occupational Therapist, Counselling Psychologist"
Sports Data Analyst,"Statistical Clerk, Statistical Assistant, Operations Research Analyst"
Sports Compliance Officer,"Information Officer, Health Officer, Sports Coach"
Production Manager (Sports Equipment),"Sports Goods Maker, Wood, Sports Coach, Production Manager (Motion Picture)"
Sports Brand Manager,"Product Brand Manager, Brand Manager, Sports Coach"
Logistics Coordinator (Sports Events),"Manager, Recreation and Entertainment, Sports Coach, Building Operator Sports Goods"
Sports Data Scientist,"Statistical Assistant, Professional Athlete, Sports Coach"
Agricultural Communications Specialist,"Agricultural Engineering Technician, Manager, Agriculture Farm, Agriculture Field Officer"
Architectural Writer,"Construction Painter and Decorator, Architect, Painter, Building"
Creative Writer,"Cartoonist, Letter Writer Cum Painter, Creative Writer"
Business Communications Specialist,"Digital Marketing Manager, General Manager - Communication, Director of Communications"
Language Teacher,"Language Specialist, Middle School Language Teacher, Language Teacher, Senior Secondary and Secondary School"
Financial Analyst,"Risk Management Analyst, Budget Analyst, Financial Analyst"
Public Affairs Specialist,"Administrative &amp; Executive Official, Office Service Executive, Public Relations Officer"
Health Communications Specialist,"Medical Equipment Technician, Medical Records and Health Information Technician, Health Officer"
Event Coordinator,"Meeting, Conference, and Event Planner, Traffic Coordinator (Media Organization), Sales Coordinator"
Social Services Coordinator,"Service Office Manager, Service Advisor, Service Supervisor"
Technical Writer,"Technologist, Paper, Creative Writer, Commentary Writer"
Paralegal,"Judge, Supreme Court, Judge, Subordinate Court, Parasitologist"
Quality Control Specialist,"Quality Technician, Quality Control Chemist, Quality Supervisor"
Content Marketing Specialist,"Marketing &amp; Social Media Manager, Advertising Operations Coordinator (Digital), Digital Marketing Manager"
Logistics Coordinator,"Warehouse Supervisor, Sales Coordinator, Transport Coordinator"
Technical Writer for STEM,"Technical Head, Paper Technologist, Technologist, Paper"
Agricultural Communications Specialist,"Agricultural Engineering Technician, Manager, Agriculture Farm, Agriculture Field Officer"
Construction Communications Manager,"General Manager, Construction, Construction Work Supervisor, Manager, Construction"
Multimedia Artist,"Rendering Artist, Commercial Artist, Theatrical and Media Make-Up Artist"
Corporate Communications Manager,"Manager Communication, Director of Communications, General Manager - Communication"
Educational Content Developer,"Documentation Assistant, University and College Teacher, Information Technology, Front-End Developer"
Financial Communications Specialist,"Telecommunication Technician, Director of Communications, Financial Analyst"
Public Affairs Specialist,"Administrative &amp; Executive Official, Office Service Executive, Public Relations Officer"
Health Communications Specialist,"Medical Equipment Technician, Medical Records and Health Information Technician, Health Officer"
Travel Journalist,"Reporter, Freelance Journalist, Business Correspondent"
Non-Profit Communications Manager,"Manager Communication, Director of Communications, General Manager - Communication"
Technology Communications Specialist,"Electronic Technician, Telecommunication Engineer, Telecommunication Technician"
Legal Communications Specialist,"Attorney at Law, Legal Assistant, Director of Communications"
Manufacturing Communications Specialist,"Assembly Operator (Telephone Equipment Manufacturing), Manager, Manufacturing, Manager, Manufacturing"
Digital Marketing Specialist,"Marketing &amp; Social Media Manager, Advertising Operations Coordinator (Digital), Digital Marketing Manager"
Transportation Communications Manager,"General Manager - Transport, Transport Coordinator, Transport Manager"
STEM Communications Specialist,"Telecommunication Technician, Telecommunication Engineer, Engineering Supervisor, Telephone"
Landscape Architect,"Construction Painter and Decorator, Surveyor Topographical, Architect"
Architect,"Naval Architect, Construction Painter and Decorator, Architect"
Exhibit Designer,"Museum Curator, Interior Designer, Design Merchandiser"
Facilities Manager,"Area Service Manager, Service Office Manager, Personnel Manager"
Educational Facility Designer,"Design Engineer, Equipment Designer, Computer Designer"
Bank Branch Designer,"Bank Clerk, General Manager, Bank, Bank Manager"
Government Building Architect,"Construction Painter and Decorator, Painter, Building, Architect"
Hospital Architect,"Hospital Cleaner, Hospital Administrator, Architect"
Hotel Architect,"Naval Architect, Steward, Hotel, Architect"
Community Center Architect,"Painter, Building, Town Planner, Architect"
UX/UI Designer,"Designer (CAD), Layout Designer, Interior Designer"
Courthouse Architect,"Painter, Building, Registrar (Appellate Side, High Court), Architect"
Industrial Architect,"Industrial Painter, Industrial Engineer, Architect"
Retail Space Designer,"Furniture Designer, Interior Designer, Design Merchandiser"
Transportation Infrastructure Architect,"Transport Coordinator, Infrastructure Engineer, Transport Manager"
Occupation B,"Employment Officer/Operation Head, Employment, Career Name, Working Proprietor, Construction"
Food Scientists and Technologists,"Chemical Engineer, Food, Food/Chemical Technologist, Food Chemist"
Civil Engineers,"Civil Engineer, Structural, Civil Engineer, General, Civil Engineer"
Film and Video Editors,"Photographic Film and Paper Maker, Film Producer, Movie Cameraman"
Operations Research Analyst,"Risk Management Analyst, Market Research Analyst, Operations Research Analyst"
Instructional Coordinator,"Trainee Associate, Sales Coordinator, IT Coordinator in School"
Quantitative Analyst (Quant),"Market Research Analyst, Economist, Financial Analyst"
Urban Planner,"Traffic Planner, Town Planner, Planner"
Clinical Research Coordinator,"Cancer Specialist, Laboratory Assistant, Clinical, Medical Laboratory Technician"
Sustainability Manager,"Manager, Water Supply, Social Ecologist, Ecologist"
Clinical Research Coordinator,"Cancer Specialist, Laboratory Assistant, Clinical, Medical Laboratory Technician"
Data Scientist,"Soil Scientist, Material Scientist, Environmental Scientist"
