Career (Small List),Matched Career (Large List)
Occupation A,Occupational Analyst
Agricultural Engineers,Agricultural Engineer
Architects,Architect
Multimedia Artists and Animators,Animator
Data Scientist,Statistician
STEM Teacher (Secondary Education),University and College Teacher (Science Subjects)
Financial Analyst,Financial Analyst
Policy Analyst,Political Scientist
Biomedical Engineer,Biomedical Engineer
Data Analyst in Hospitality,Assistant Catering Manager
Biomedical Engineer,Biomedical Engineer
Software Developer ,Software Tester
Cybersecurity Specialist,ICT Technician
Manufacturing Engineer,Industrial Engineer
Digital Marketing Specialist,Digital Marketing Manager
Logistics Manager,Courier Delivery Executive
Environmental Scientist ,Environmental Scientist
Agricultural Scientist,Agricultural Engineer
Healthcare Architect,Architect
Medical Illustrator ,"Anatomist, Medical"
Healthcare Administrator,Hospital Administrator
Health Educator,Health Educator
Healthcare Financial Analyst,Financial Analyst
Public Health Administrator,Health Officer
Clinical Research Coordinator,Clinical Sociologist
Health and Wellness Coordinator,Health Educator
Healthcare Administrator,Hospital Administrator
Health Informatics Specialist,Medical Records and Health Information Technician
Clinical Research Informatics Specialist,Medical Records and Health Information Technician
Biomedical Engineer,Biomedical Engineer
Pharmaceutical Sales Representative,Medical Sales Representative
Clinical Logistics Manager,Medical Sales Representative
Biomedical Engineer,Biomedical Engineer
Agricultural Lawyer,Agricultural Engineer
Construction Lawyer,Civil Engineer
Media Lawyer,Publicity Officer
Corporate Lawyer,Legal Assistant
Education Policy Analyst,Political Scientist
Financial Compliance Officer,Accounts Executive (Statutory Compliance)
Public Policy Analyst,Political Scientist
Health Law Attorney,Legal Assistant
Hospitality Lawyer,Hotel Concierge
Social Services Lawyer,Legal Assistant
Cybersecurity Lawyer,Attorney at Law
Victim Advocate,Advocate
Environmental Compliance Manager,Environmental Compliance Inspector
Digital Marketing Consultant,Digital Marketing Manager
Freight and Shipping Attorney,Courier Delivery Executive
Technology Law Attorney,Attorney at Law
Agricultural Extension Officer,Agriculture Extension Executive
Urban Planner,Town Planner
Public Relations Specialist,Public Relations Officer
Human Resources Manager,Human Resource Manager
School Counselor,Counsellor
Financial Advisor,Financial Analyst
Public Policy Analyst,Political Scientist
Health Policy Analyst,Health Officer
Event Manager,"Meeting, Conference, and Event Planner"
Social Worker,Medical Social Worker
Systems Analyst,Computer Designer
Paralegal,Legal Assistant
Production Planner,Production Planner
Market Research Analyst,Market Research Analyst
Logistics Coordinator,Courier Delivery Executive
Data Scientist,Statistician
Agribusiness Manager,General Manager Agriculture Farm
Construction Project Manager,"Manager, Construction"
Media Production Manager,Production Manager (Motion Picture)
Operations Manager,Maintenance Executive
Training and Development Manager,Sales Training Manager
Financial Analyst,Financial Analyst
City Manager,Store Manager
Healthcare Administrator,Hospital Administrator
Hotel Manager,Hotel Concierge
Social and Community Service Manager,Community Service Provider
IT Project Manager,IT Coordinator in School
Corporate Compliance Manager,Factory Compliance Auditor
Operations Manager (Manufacturing),"Manager, Manufacturing"
Marketing Manager,Sales Manager
Logistics Manager,Courier Delivery Executive
Business Intelligence Analyst,Market Research Analyst
Agricultural Communications Specialist,Agriculture Field Officer
Architectural Visualizer,Product Conceptualization Manager
Multimedia Artist,Fine Art Painter
Creative Project Manager,Product Development Manager
Art Teacher,Art Teacher
Art Investment Consultant,"Renovator, Paintings"
Cultural Policy Advisor,Public Relations Officer
Art Therapist,Art Teacher
Cultural Tour Guide,Tourist Guide
Art Therapist,Art Teacher
Multimedia Artist and Animator,Animator
Art Lawyer,Attorney at Law
Product Designer (Arts Focus),Product Design Engineer
Marketing Art Director (Advertising),Account Director (Advertising Agency)
Exhibit Transportation Specialist,Transport Coordinator
Scientific Illustrator,
Agricultural Equipment Operator,"Operator, Farm Machines"
Construction Manager,"Manager, Construction"
Sports Broadcaster,Radio Commentator
Sports Marketing Manager,Sports Coach
Physical Education Teacher,Physical Training Instructor/Physical Education Teacher
Sports Financial Analyst,Financial Analyst
Recreation Coordinator,"Manager, Recreation and Entertainment"
Exercise Physiologist,Medical Physiologist
Sports Event Planner,"Meeting, Conference, and Event Planner"
Recreational Therapist,Occupational Therapist
Sports Data Analyst,Sports Coach
Sports Compliance Officer,Sports Coach
Production Manager (Sports Equipment),"Manager, Manufacturing"
Sports Brand Manager,Brand Manager
Logistics Coordinator (Sports Events),Courier Delivery Executive
Sports Data Scientist,Sports Coach
Agricultural Communications Specialist,Agriculture Field Officer
Architectural Writer,Architect
Creative Writer,Creative Writer
Business Communications Specialist,Director of Communications
Language Teacher,Middle School Language Teacher
Financial Analyst,Financial Analyst
Public Affairs Specialist,Public Relations Officer
Health Communications Specialist,Health Educator
Event Coordinator,"Meeting, Conference, and Event Planner"
Social Services Coordinator,Child Welfare Organizer
Technical Writer,Creative Writer
Paralegal,Legal Assistant
Quality Control Specialist,Quality Technician
Content Marketing Specialist,Marketing &amp; Social Media Manager
Logistics Coordinator,Courier Delivery Executive
Technical Writer for STEM,"Technologist, Paper"
Agricultural Communications Specialist,Agriculture Field Officer
Construction Communications Manager,"Manager, Construction"
Multimedia Artist,Fine Art Painter
Corporate Communications Manager,Director of Communications
Educational Content Developer,ICT Engineer
Financial Communications Specialist,Financial Analyst
Public Affairs Specialist,Public Relations Officer
Health Communications Specialist,Health Educator
Travel Journalist,Travel Agent
Non-Profit Communications Manager,Public Relations Officer
Technology Communications Specialist,Telecommunication Engineer
Legal Communications Specialist,Legal Assistant
Manufacturing Communications Specialist,"Manager, Manufacturing"
Digital Marketing Specialist,Digital Marketing Manager
Transportation Communications Manager,Transport Coordinator
STEM Communications Specialist,Telecommunication Engineer
Landscape Architect,Architect
Architect,Architect
Exhibit Designer,Art Director
Facilities Manager,"General Manager, Construction"
Educational Facility Designer,Design Engineer
Bank Branch Designer,Bank Manager
Government Building Architect,Architect
Hospital Architect,Hospital Administrator
Hotel Architect,Hotel Concierge
Community Center Architect,Architect
UX/UI Designer,Design Engineer
Courthouse Architect,Architect
Industrial Architect,Architect
Retail Space Designer,Design Merchandiser
Transportation Infrastructure Architect,Infrastructure Engineer
Occupation B,Occupational Analyst
Food Scientists and Technologists,Food/Chemical Technologist
Civil Engineers,Civil Engineer
Film and Video Editors,Film Librarian
Operations Research Analyst,Operations Research Analyst
Instructional Coordinator,IT Coordinator in School
Quantitative Analyst (Quant),Financial Analyst
Urban Planner,Town Planner
Clinical Research Coordinator,Clinical Sociologist
Sustainability Manager,Climate Change &amp; Risk Mitigation Manager
Clinical Research Coordinator,Clinical Sociologist
Data Scientist,Statistician
Forensic Scientist,Forensic Science Technician
Quality Control Analyst ,Quality Assessor
Marketing Data Analyst,Market Research Analyst
Transportation Planner,Transport Coordinator
Mechanical Engineer,Mechanical Engineer
Food Scientists and Technologists,Food/Chemical Technologist
Building Scientist,"Civil Engineer, Structural"
Health Communications Specialist,Health Educator
Clinical Research Coordinator,Clinical Sociologist
Medical Science Liaison,Medical Physiologist
Pharmaceutical Sales Representative,Medical Sales Representative
Epidemiologist,"Pathologist, Medical"
Biomedical Scientist,Biomedical Engineer
Medical Tourism Consultant,Travel Consultant
Public Health Educator,Health Educator
Clinical Data Manager,Medical Records and Health Information Technician
